"SiteID","Visit","Year","Detection","ObsID","SiteVisited","Region","Meereshoehe","Besonnung","Fische","Wasserspiegel","Wasserflaeche.mean","log.Area.scaled","Fluctuations","NewSite"
"P_035",1,1999,NA,134,0,"Rheintal",269,"sonnig",1,"kaum schwankend",200,-0.213429282328588,0,0
"P_036",1,1999,NA,134,0,"Rheintal",360,"sonnig",0,"kaum schwankend",60,-0.86437655714206,0,0
"P_037",1,1999,0,18,1,"Rheintal",435,"wechselnd",0,"kaum schwankend",70.3333333333333,-0.778468934514594,0,0
"P_038",1,1999,0,18,1,"Rheintal",390,"wechselnd",0,"stark schwankend",765,0.511956213747244,1,0
"P_039",1,1999,0,10,1,"Rheintal",335,"wechselnd",1,"kaum schwankend",11000,1.95338330634637,0,0
"P_040",1,1999,0,10,1,"Rheintal",300,"sonnig",0,"kaum schwankend",160,-0.334080366929626,0,0
"P_041",1,1999,0,24,1,"Rheintal",280,"schattig",1,"stark schwankend",4350,1.45174901354174,1,0
"P_042",1,1999,0,24,1,"Rheintal",280,"sonnig",0,"kaum schwankend",10,-1.83276368834748,0,0
"P_043",1,1999,1,26,1,"Rheintal",300,"wechselnd",1,"stark schwankend",213,-0.179379294276945,1,0
"P_044",1,1999,NA,134,0,"Rheintal",330,"sonnig",0,"kaum schwankend",40,-1.08357398598975,0,0
"P_045",1,1999,NA,134,0,"Rheintal",370,"wechselnd",0,"kaum schwankend",28,-1.27637680508819,0,0
"P_046",1,1999,NA,134,0,"Rheintal",400,"sonnig",0,"kaum schwankend",335,0.0654695367612956,0,0
"P_047",1,1999,NA,134,0,"Rheintal",410,"wechselnd",1,"stark schwankend",18,-1.51517670543861,1,0
"P_048",1,1999,NA,134,0,"Rheintal",360,"sonnig",0,"kaum schwankend",40,-1.08357398598975,0,0
"P_049",1,1999,NA,134,0,"Rheintal",380,"wechselnd",0,"stark schwankend",50,-0.962943172630398,1,0
"P_050",1,1999,NA,134,0,"Rheintal",360,"schattig",0,"kaum schwankend",84,-0.68246554363492,0,0
"P_051",1,1999,NA,134,0,"Rheintal",360,"sonnig",0,"unbekannt",2,-2.70086011189966,0,0
"P_052",1,1999,NA,134,0,"Rheintal",330,"schattig",1,"kaum schwankend",20,-1.45823635100975,0,0
"P_053",1,1999,NA,134,0,"Rheintal",440,"wechselnd",1,"unbekannt",565,0.348093923063029,0,0
"P_054",1,1999,0,26,1,"Rheintal",305,"wechselnd",1,"kaum schwankend",3850,1.38572598963711,0,0
"P_055",1,1999,0,26,1,"Rheintal",300,"wechselnd",1,"stark schwankend",1100,0.708337405276186,1,0
"P_056",1,1999,0,26,1,"Rheintal",305,"wechselnd",0,"kaum schwankend",350,0.0891537328324744,0,0
"P_057",1,1999,NA,134,0,"Rheintal",280,"wechselnd",1,"kaum schwankend",1350,0.819072619707166,0,0
"P_058",1,1999,0,26,1,"Rheintal",290,"wechselnd",0,"stark schwankend",42.5,-1.05080108208717,1,0
"P_059",1,1999,0,26,1,"Rheintal",290,"wechselnd",1,"stark schwankend",25,-1.33763255533506,1,0
"P_060",1,1999,1,26,1,"Rheintal",290,"sonnig",0,"stark schwankend",235,-0.126232640179397,1,0
"P_061",1,1999,1,26,1,"Rheintal",300,"wechselnd",0,"stark schwankend",233.75,-0.129116355900783,1,0
"P_062",1,1999,1,26,1,"Rheintal",280,"sonnig",0,"stark schwankend",1370,0.827024446985519,1,0
"P_063",1,1999,0,26,1,"Rheintal",300,"sonnig",0,"stark schwankend",2135,1.0669159829844,1,0
"P_064",1,1999,1,26,1,"Rheintal",300,"sonnig",0,"kaum schwankend",45,-1.01990153769893,0,0
"P_065",1,1999,NA,134,0,"Rheintal",302,"sonnig",0,"stark schwankend",100,-0.58819974240065,1,0
"P_066",1,1999,NA,134,0,"Rheintal",295,"wechselnd",0,"stark schwankend",65.5,-0.816960094593033,1,0
"P_067",1,1999,NA,134,0,"Rheintal",295,"sonnig",0,"stark schwankend",415,0.18126020140232,1,0
"P_068",1,1999,NA,134,0,"Rheintal",460,"wechselnd",0,"stark schwankend",15,-1.6137012984339,1,0
"P_069",1,1999,NA,134,0,"Rheintal",500,"wechselnd",0,"stark schwankend",150,-0.368975285512288,1,0
"P_070",1,1999,NA,134,0,"Rheintal",300,"wechselnd",1,"kaum schwankend",223.333333333333,-0.153764872450689,0,0
"P_071",1,1999,NA,134,0,"Rheintal",300,"sonnig",0,"kaum schwankend",160,-0.334080366929626,0,0
"P_072",1,1999,NA,134,0,"Rheintal",300,"wechselnd",1,"kaum schwankend",65,-0.821102916620091,0,0
"P_073",1,1999,0,24,1,"Rheintal",280,NA,0,NA,NA,0,0,0
"P_074",1,1999,0,24,1,"Rheintal",320,NA,0,NA,NA,0,0,0
"P_075",1,1999,0,24,1,"Rheintal",300,"wechselnd",0,"kaum schwankend",570,0.352857909456487,0,0
"P_076",1,1999,0,13,1,"Rheintal",340,"sonnig",1,"stark schwankend",4125,1.42303161701382,1,0
"P_077",1,1999,0,13,1,"Rheintal",420,"wechselnd",1,"kaum schwankend",40,-1.08357398598975,0,0
"P_078",1,1999,0,13,1,"Rheintal",400,"wechselnd",1,"kaum schwankend",50,-0.962943172630398,0,0
"P_079",1,1999,0,13,1,"Rheintal",360,"wechselnd",0,"kaum schwankend",60,-0.86437655714206,0,0
"P_080",1,1999,NA,134,0,"Rheintal",395,"wechselnd",1,"stark schwankend",5333.33333333333,1.56194752997922,1,0
"P_081",1,1999,NA,134,0,"Rheintal",335,"wechselnd",1,"unbekannt",400,0.161354694184988,0,0
"P_082",1,1999,NA,134,0,"Rheintal",395,"sonnig",0,NA,225,-0.149744821475101,0,0
"P_083",1,1999,NA,134,0,"Rheintal",540,"schattig",0,"stark schwankend",20,-1.45823635100975,1,0
"P_084",1,1999,NA,134,0,"Rheintal",360,"sonnig",0,"unbekannt",4,-2.32740936454457,0,0
"P_085",1,1999,NA,134,0,"Rheintal",568,"wechselnd",0,"kaum schwankend",750,0.501248708461525,0,0
"P_086",1,1999,1,1,1,"Rheintal",380,"wechselnd",0,"stark schwankend",2883.33333333333,1.22939062480958,1,0
"P_087",1,1999,NA,134,0,"Rheintal",320,"schattig",1,"kaum schwankend",1000,0.656801920720396,0,0
"P_088",1,1999,NA,134,0,"Rheintal",350,"wechselnd",1,"kaum schwankend",355,0.0968234096013978,0,0
"P_089",1,1999,NA,134,0,"Rheintal",420,"sonnig",1,"stark schwankend",5700,1.59789969698696,1,0
"P_090",1,1999,0,1,1,"Rheintal",378,"wechselnd",0,"stark schwankend",162,-0.327363697920252,1,0
"P_091",1,1999,0,1,1,"Rheintal",320,"wechselnd",1,"kaum schwankend",7550,1.74988536729937,0,0
"P_092",1,1999,NA,134,0,"Rheintal",320,"wechselnd",0,"stark schwankend",140,-0.406278431847511,1,0
"P_093",1,1999,1,16,1,"Rheintal",320,"wechselnd",0,"kaum schwankend",235.5,-0.125083446331273,0,0
"P_094",1,1999,NA,134,0,"Rheintal",321,"sonnig",0,"stark schwankend",5000,1.52705042613804,1,0
"P_095",1,1999,NA,134,0,"Rheintal",360,"wechselnd",1,"kaum schwankend",40,-1.08357398598975,0,0
"P_096",1,1999,NA,134,0,"Rheintal",530,"wechselnd",0,"stark schwankend",58.3333333333333,-0.879606496666851,1,0
"P_097",1,1999,NA,134,0,"Rheintal",500,"wechselnd",0,"stark schwankend",1,-3.07297413392963,1,0
"P_098",1,1999,NA,134,0,"Rheintal",470,"wechselnd",1,"kaum schwankend",400,0.161354694184988,0,0
"P_099",1,1999,NA,134,0,"Rheintal",470,"schattig",0,"kaum schwankend",5,-2.20702127364849,0,0
"P_100",1,1999,NA,134,0,"Rheintal",325,"sonnig",1,"kaum schwankend",14000,2.08378398322697,0,0
"P_101",1,1999,NA,134,0,"Rheintal",360,"wechselnd",0,"kaum schwankend",60,-0.86437655714206,0,0
"P_102",1,1999,1,16,1,"Rheintal",320,"wechselnd",1,"stark schwankend",1500,0.876042597676486,1,0
"P_103",1,1999,NA,134,0,"Rheintal",385,"schattig",0,"unbekannt",1000,0.656801920720396,0,0
"P_104",1,1999,NA,134,0,"Rheintal",305,"sonnig",0,"kaum schwankend",142.75,-0.395760889546868,0,1
"P_105",1,1999,NA,134,0,"Rheintal",310,"wechselnd",0,"stark schwankend",90,-0.645164113550296,1,1
"P_106",1,1999,NA,134,0,"Rheintal",350,"wechselnd",0,"kaum schwankend",131.2,-0.441379040159761,0,1
"P_107",1,1999,NA,134,0,"Rheintal",310,"sonnig",0,"kaum schwankend",160,-0.334080366929626,0,1
"P_108",1,1999,0,29,1,"Rheintal",324,"sonnig",0,"stark schwankend",800,0.536145429299463,1,1
"P_109",1,1999,0,29,1,"Rheintal",312,"wechselnd",0,"kaum schwankend",750,0.501248708461525,0,1
"P_110",1,1999,0,29,1,"Rheintal",350,"wechselnd",1,"kaum schwankend",520,0.303216782557818,0,1
"P_111",1,1999,0,26,1,"Rheintal",295,"wechselnd",1,"stark schwankend",342.5,0.077441299382601,1,1
"P_112",1,1999,0,26,1,"Rheintal",300,"sonnig",0,"stark schwankend",375,0.126458423928328,1,1
"P_113",1,1999,0,26,1,"Rheintal",310,"schattig",0,"stark schwankend",47,-0.996393445877596,1,1
"P_114",1,1999,1,10,1,"Rheintal",308,"sonnig",0,"kaum schwankend",250,-0.0927768460681951,0,1
"P_115",1,1999,1,26,1,"Rheintal",290,"wechselnd",0,"stark schwankend",89.8,-0.646366913481005,1,1
"P_116",1,1999,NA,134,0,"Rheintal",300,"wechselnd",0,"stark schwankend",70,-0.781037307205031,1,1
"P_117",1,1999,NA,134,0,"Rheintal",320,"sonnig",0,"stark schwankend",76,-0.736575744736259,1,1
"P_118",1,1999,NA,134,0,"Rheintal",350,"sonnig",0,"stark schwankend",200,-0.213429282328588,1,1
"P_119",1,1999,NA,134,0,"Rheintal",350,"sonnig",0,"stark schwankend",100,-0.58819974240065,1,1
"P_120",1,1999,0,12,1,"Aaretal",330,"sonnig",0,"stark schwankend",950,0.629066972828789,1,0
"P_121",1,1999,NA,134,0,"Aaretal",330,"wechselnd",1,"kaum schwankend",200,-0.213429282328588,0,0
"P_122",1,1999,NA,134,0,"Aaretal",490,"wechselnd",0,"stark schwankend",13,-1.69102315141771,1,0
"P_123",1,1999,1,27,1,"Aaretal",370,"sonnig",0,"stark schwankend",1997.83333333333,1.03101061816345,1,0
"P_124",1,1999,NA,134,0,"Aaretal",480,"sonnig",0,"kaum schwankend",60,-0.86437655714206,0,0
"P_125",1,1999,NA,134,0,"Aaretal",340,"wechselnd",1,"kaum schwankend",110,-0.536668681440718,0,0
"P_126",1,1999,NA,134,0,"Aaretal",340,"unbekannt",1,"unbekannt",100,-0.58819974240065,0,0
"P_127",1,1999,NA,134,0,"Aaretal",340,"sonnig",0,"stark schwankend",50,-0.962943172630398,1,0
"P_128",1,1999,NA,134,0,"Aaretal",341,"sonnig",1,"kaum schwankend",1000,0.656801920720396,0,0
"P_129",1,1999,NA,134,0,"Aaretal",347,"sonnig",1,"stark schwankend",400,0.161354694184988,1,0
"P_130",1,1999,NA,134,0,"Aaretal",500,"wechselnd",1,"kaum schwankend",352,0.0922346704056558,0,0
"P_131",1,1999,NA,134,0,"Aaretal",450,"wechselnd",1,"kaum schwankend",18,-1.51517670543861,0,0
"P_132",1,1999,0,21,1,"Aaretal",370,"sonnig",0,"kaum schwankend",12,-1.73426908942714,0,0
"P_133",1,1999,0,21,1,"Aaretal",375,"wechselnd",0,"unbekannt",60,-0.86437655714206,0,0
"P_134",1,1999,NA,134,0,"Aaretal",410,"sonnig",1,"kaum schwankend",2000,1.03159671111706,0,0
"P_135",1,1999,NA,134,0,"Aaretal",440,"wechselnd",1,"unbekannt",2400,1.13018089665447,0,0
"P_136",1,1999,NA,134,0,"Aaretal",395,"wechselnd",1,"kaum schwankend",600,0.380592667627502,0,0
"P_137",1,1999,NA,134,0,"Aaretal",510,"wechselnd",0,"stark schwankend",550,0.333544826862935,1,0
"P_138",1,1999,NA,134,0,"Aaretal",440,"schattig",0,"kaum schwankend",200,-0.213429282328588,0,0
"P_139",1,1999,NA,134,0,"Aaretal",350,"wechselnd",0,"stark schwankend",900,0.599832143013659,1,0
"P_140",1,1999,NA,134,0,"Aaretal",372,"wechselnd",1,"unbekannt",1500,0.876042597676486,0,0
"P_141",1,1999,0,12,1,"Aaretal",328,"wechselnd",1,"kaum schwankend",40,-1.08357398598975,0,0
"P_142",1,1999,0,12,1,"Aaretal",328,NA,0,NA,NA,0,0,0
"P_143",1,1999,NA,134,0,"Aaretal",360,"schattig",0,"kaum schwankend",135.333333333333,-0.424608295816618,0,0
"P_144",1,1999,NA,134,0,"Aaretal",374,"wechselnd",0,"stark schwankend",25.5,-1.32692914793712,1,0
"P_145",1,1999,NA,134,0,"Aaretal",416,"wechselnd",0,"kaum schwankend",90,-0.645164113550296,0,0
"P_146",1,1999,NA,134,0,"Aaretal",360,"wechselnd",0,"stark schwankend",95,-0.615932129283294,1,0
"P_147",1,1999,NA,134,0,"Aaretal",585,"wechselnd",0,"kaum schwankend",130,-0.446347011582252,0,0
"P_148",1,1999,NA,134,0,"Aaretal",350,"wechselnd",1,"stark schwankend",770,0.515478776308152,1,0
"P_149",1,1999,0,23,1,"Aaretal",338,"wechselnd",1,"unbekannt",5500,1.57858630393914,0,0
"P_150",1,1999,NA,134,0,"Aaretal",340,"wechselnd",0,"stark schwankend",1500,0.876042597676486,1,0
"P_151",1,1999,NA,134,0,"Aaretal",405,"wechselnd",0,"kaum schwankend",13,-1.69102315141771,0,0
"P_152",1,1999,NA,134,0,"Aaretal",330,"sonnig",1,"kaum schwankend",80,-0.708844069161042,0,0
"P_153",1,1999,NA,134,0,"Aaretal",430,"wechselnd",0,"kaum schwankend",147.5,-0.37806259414017,0,0
"P_154",1,1999,NA,134,0,"Aaretal",340,"schattig",1,"kaum schwankend",800,0.536145429299463,0,0
"P_155",1,1999,NA,134,0,"Aaretal",460,"wechselnd",0,"kaum schwankend",12.6666666666667,-1.70505763990144,0,0
"P_156",1,1999,NA,134,0,"Aaretal",440,"sonnig",0,"stark schwankend",1883.33333333333,0.999097575776573,1,0
"P_157",1,1999,NA,134,0,"Aaretal",430,"wechselnd",0,"stark schwankend",35.5,-1.14808985318147,1,0
"P_158",1,1999,NA,134,0,"Aaretal",390,"wechselnd",1,"stark schwankend",1000,0.656801920720396,1,0
"P_159",1,1999,0,27,1,"Aaretal",380,"wechselnd",1,"kaum schwankend",750,0.501248708461525,0,0
"P_160",1,1999,0,27,1,"Aaretal",445,"wechselnd",1,"kaum schwankend",300,0.0058041854081534,0,0
"P_161",1,1999,NA,134,0,"Aaretal",400,"wechselnd",0,"stark schwankend",92.5,-0.630350605313732,1,0
"P_162",1,1999,0,27,1,"Aaretal",370,"wechselnd",0,"stark schwankend",260,-0.0715703132785268,1,0
"P_163",1,1999,NA,134,0,"Aaretal",350,"wechselnd",1,"stark schwankend",106,-0.556695726998898,1,0
"P_164",1,1999,NA,134,0,"Aaretal",370,"sonnig",0,"stark schwankend",1066.66666666667,0.691698754205473,1,0
"P_165",1,1999,0,27,1,"Aaretal",360,"wechselnd",0,"stark schwankend",375,0.126458423928328,1,0
"P_166",1,1999,NA,134,0,"Aaretal",356,"wechselnd",0,"stark schwankend",55,-0.911417025885722,1,0
"P_167",1,1999,NA,134,0,"Aaretal",355,"wechselnd",1,"kaum schwankend",808.333333333333,0.541748710135537,0,0
"P_168",1,1999,NA,134,0,"Aaretal",382,"sonnig",0,"stark schwankend",1177.33333333333,0.745074477335609,1,0
"P_169",1,1999,NA,134,0,"Aaretal",375,"wechselnd",0,"kaum schwankend",10,-1.83276368834748,0,0
"P_170",1,1999,NA,134,0,"Aaretal",353,"sonnig",0,"kaum schwankend",10,-1.83276368834748,0,0
"P_171",1,1999,NA,134,0,"Aaretal",400,"wechselnd",0,"stark schwankend",91.8571428571429,-0.634121204468522,1,0
"P_172",1,1999,NA,134,0,"Aaretal",404,"sonnig",0,"kaum schwankend",106.666666666667,-0.553305950132974,0,0
"P_173",1,1999,0,1,1,"Aaretal",320,"sonnig",1,"stark schwankend",10000,1.90184737938919,1,0
"P_174",1,1999,1,1,1,"Aaretal",320,"sonnig",1,"kaum schwankend",17500,2.20444174918346,0,0
"P_175",1,1999,0,1,1,"Aaretal",318,"wechselnd",1,"stark schwankend",403.5,0.166065284263187,1,0
"P_176",1,1999,0,1,1,"Aaretal",323,"schattig",0,"kaum schwankend",90,-0.645164113550296,0,0
"P_177",1,1999,0,1,1,"Aaretal",323,"wechselnd",1,"kaum schwankend",966.666666666667,0.638470911481875,0,0
"P_178",1,1999,1,12,1,"Aaretal",360,"wechselnd",0,"stark schwankend",200,-0.213429282328588,1,0
"P_179",1,1999,0,1,1,"Aaretal",380,"schattig",1,"stark schwankend",1000,0.656801920720396,1,0
"P_180",1,1999,NA,134,0,"Aaretal",495,"wechselnd",0,"kaum schwankend",17.5,-1.53040064137866,0,0
"P_181",1,1999,0,12,1,"Aaretal",323,"wechselnd",1,"kaum schwankend",750,0.501248708461525,0,0
"P_182",1,1999,0,1,1,"Aaretal",316,"wechselnd",1,"kaum schwankend",15000,2.12108967848587,0,0
"P_183",1,1999,0,1,1,"Aaretal",320,"wechselnd",1,"stark schwankend",4033.33333333333,1.41088015821553,1,0
"P_184",1,1999,0,1,1,"Aaretal",316,"wechselnd",1,"stark schwankend",12500,2.02250511444753,1,0
"P_185",1,1999,NA,134,0,"Aaretal",340,"wechselnd",1,"stark schwankend",30,-1.23908395388733,1,1
"P_186",1,1999,1,1,1,"Aaretal",345,"sonnig",0,"stark schwankend",73,-0.75834966303517,1,1
"P_187",1,1999,NA,134,0,"Reusstal",355,"schattig",0,"unbekannt",240,-0.114849151975372,0,0
"P_188",1,1999,NA,134,0,"Reusstal",357,"wechselnd",1,"stark schwankend",4200,1.43277453261949,1,0
"P_189",1,1999,NA,134,0,"Reusstal",370,"sonnig",1,"stark schwankend",675,0.444279131015961,1,0
"P_190",1,1999,NA,134,0,"Reusstal",360,"wechselnd",0,"kaum schwankend",60,-0.86437655714206,0,0
"P_191",1,1999,0,31,1,"Reusstal",370,"wechselnd",0,"kaum schwankend",65,-0.821102916620091,0,0
"P_192",1,1999,NA,134,0,"Reusstal",605,"wechselnd",0,"kaum schwankend",400,0.161354694184988,0,0
"P_193",1,1999,1,14,1,"Reusstal",360,"wechselnd",1,"stark schwankend",5751.875,1.60279844314402,1,0
"P_194",1,1999,1,14,1,"Reusstal",368,"sonnig",0,"kaum schwankend",214.5,-0.175584940529446,0,0
"P_195",1,1999,0,14,1,"Reusstal",360,"wechselnd",1,"stark schwankend",17500,2.20444174918346,1,0
"P_196",1,1999,NA,134,0,"Reusstal",375,NA,1,NA,NA,0,0,0
"P_197",1,1999,1,14,1,"Reusstal",360,"wechselnd",0,"kaum schwankend",133.333333333333,-0.432658244547284,0,0
"P_198",1,1999,1,14,1,"Reusstal",370,"sonnig",1,"kaum schwankend",200,-0.213429282328588,0,0
"P_199",1,1999,0,14,1,"Reusstal",368,"wechselnd",0,"stark schwankend",260,-0.0715703132785268,1,0
"P_200",1,1999,NA,134,0,"Reusstal",375,"sonnig",0,"stark schwankend",120.5,-0.487375991418308,1,0
"P_201",1,1999,0,14,1,"Reusstal",380,"schattig",1,"kaum schwankend",660,0.43212782448346,0,0
"P_202",1,1999,0,14,1,"Reusstal",410,"wechselnd",1,"stark schwankend",434,0.205465442244744,1,0
"P_203",1,1999,NA,134,0,"Reusstal",455,"schattig",0,"kaum schwankend",300,0.0058041854081534,0,0
"P_204",1,1999,NA,134,0,"Reusstal",385,NA,0,NA,NA,0,0,0
"P_205",1,1999,NA,134,0,"Reusstal",360,"wechselnd",0,"kaum schwankend",90,-0.645164113550296,0,0
"P_206",1,1999,NA,134,0,"Reusstal",360,"schattig",1,"kaum schwankend",250,-0.0927768460681951,0,0
"P_207",1,1999,NA,134,0,"Reusstal",358,"schattig",0,"stark schwankend",NA,0,1,0
"P_208",1,1999,NA,134,0,"Reusstal",358,NA,0,NA,15,-1.6137012984339,0,0
"P_209",1,1999,0,2,1,"Reusstal",360,"schattig",1,"stark schwankend",310,0.0235336673588258,1,0
"P_210",1,1999,0,8,1,"Reusstal",355,"wechselnd",1,"stark schwankend",900,0.599832143013659,1,0
"P_211",1,1999,0,2,1,"Reusstal",367,"wechselnd",1,"stark schwankend",7625,1.75523023230053,1,0
"P_212",1,1999,0,31,1,"Reusstal",400,"wechselnd",1,"kaum schwankend",20000,2.27664460299897,0,0
"P_213",1,1999,0,2,1,"Reusstal",370,"sonnig",1,"kaum schwankend",725,0.482917761373078,0,0
"P_214",1,1999,NA,134,0,"Reusstal",360,"wechselnd",0,"kaum schwankend",200,-0.213429282328588,0,0
"P_215",1,1999,NA,134,0,"Reusstal",420,"wechselnd",1,"kaum schwankend",44,-1.03205029600098,0,0
"P_216",1,1999,1,14,1,"Reusstal",360,"sonnig",0,"kaum schwankend",47.6,-0.989535795484016,0,0
"P_217",1,1999,0,2,1,"Reusstal",370,"wechselnd",0,"kaum schwankend",150,-0.368975285512288,0,0
"P_218",1,1999,0,2,1,"Reusstal",360,"schattig",0,"kaum schwankend",100,-0.58819974240065,0,0
"P_219",1,1999,NA,134,0,"Reusstal",367,"sonnig",1,"stark schwankend",850,0.568925885433185,1,0
"P_220",1,1999,0,8,1,"Reusstal",535,"wechselnd",0,"kaum schwankend",280,-0.0315002482187067,0,0
"P_221",1,1999,NA,134,0,"Reusstal",420,"sonnig",0,"kaum schwankend",150,-0.368975285512288,0,0
"P_222",1,1999,NA,134,0,"Reusstal",450,"sonnig",0,"kaum schwankend",342,0.0766513756666374,0,0
"P_223",1,1999,NA,134,0,"Reusstal",440,"wechselnd",0,"kaum schwankend",255,-0.082069623496165,0,0
"P_224",1,1999,NA,134,0,"Reusstal",440,"sonnig",0,"stark schwankend",84,-0.68246554363492,1,0
"P_225",1,1999,NA,134,0,"Reusstal",430,"wechselnd",0,"kaum schwankend",600,0.380592667627502,0,0
"P_226",1,1999,NA,134,0,"Reusstal",420,"wechselnd",1,"kaum schwankend",6000,1.62563488203296,0,0
"P_227",1,1999,0,4,1,"Reusstal",390,"wechselnd",1,"stark schwankend",300,0.0058041854081534,1,0
"P_228",1,1999,0,31,1,"Reusstal",486,"wechselnd",1,"unbekannt",1500,0.876042597676486,0,0
"P_229",1,1999,0,8,1,"Reusstal",380,"wechselnd",0,"kaum schwankend",2250,1.09528387542255,0,0
"P_230",1,1999,NA,134,0,"Reusstal",380,"sonnig",0,"stark schwankend",2000,1.03159671111706,1,0
"P_231",1,1999,0,31,1,"Reusstal",430,"wechselnd",1,"kaum schwankend",1000,0.656801920720396,0,0
"P_232",1,1999,0,4,1,"Reusstal",380,"sonnig",1,"kaum schwankend",110,-0.536668681440718,0,0
"P_233",1,1999,NA,134,0,"Reusstal",383,"wechselnd",0,"stark schwankend",32.5,-1.19581724232206,1,0
"P_234",1,1999,NA,134,0,"Reusstal",510,"wechselnd",1,"kaum schwankend",305,0.0147415890671571,0,0
"P_235",1,1999,NA,134,0,"Reusstal",490,"schattig",1,"kaum schwankend",300,0.0058041854081534,0,0
"P_236",1,1999,NA,134,0,"Reusstal",590,"wechselnd",0,"kaum schwankend",48,-0.985011874630656,0,0
"P_237",1,1999,NA,134,0,"Reusstal",510,"schattig",0,"kaum schwankend",350,0.0891537328324744,0,0
"P_238",1,1999,NA,134,0,"Reusstal",600,"wechselnd",0,"kaum schwankend",127.5,-0.456845914065735,0,0
"P_239",1,1999,NA,134,0,"Reusstal",380,"sonnig",1,"unbekannt",6000,1.62563488203296,0,0
